#Release 13.2 - par O.61xd (nt)
#Copyright (c) 1995-2011 Xilinx, Inc.  All rights reserved.

#Thu Feb 09 09:51:51 2012

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       DMA_FPGA_map.ncd
#OUTPUT FILE:      DMA_FPGA_pad.csv
#PART TYPE:        xc6slx45
#SPEED GRADE:      -2
#PACKAGE:          fgg484
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
A1,,,GND,,,,,,,,,,,,
A2,,IOBM,IO_L83P_3,UNUSED,,3,,,,,,,,,
A3,,IOBM,IO_L1P_HSWAPEN_0,UNUSED,,0,,,,,,,,,
A4,,IOBS,IO_L1N_VREF_0,UNUSED,,0,,,,,,,,,
A5,,IOBS,IO_L2N_0,UNUSED,,0,,,,,,,,,
A6,,IOBS,IO_L4N_0,UNUSED,,0,,,,,,,,,
A7,,IOBS,IO_L5N_0,UNUSED,,0,,,,,,,,,
A8,,IOBS,IO_L6N_0,UNUSED,,0,,,,,,,,,
A9,,IOBS,IO_L8N_VREF_0,UNUSED,,0,,,,,,,,,
A10,,IOBS,IO_L34N_GCLK18_0,UNUSED,,0,,,,,,,,,
A11,,IOBS,IO_L35N_GCLK16_0,UNUSED,,0,,,,,,,,,
A12,,IOBS,IO_L37N_GCLK12_0,UNUSED,,0,,,,,,,,,
A13,,IOBS,IO_L38N_VREF_0,UNUSED,,0,,,,,,,,,
A14,,IOBS,IO_L50N_0,UNUSED,,0,,,,,,,,,
A15,,IOBS,IO_L51N_0,UNUSED,,0,,,,,,,,,
A16,BOARD_IDENT<1>,IOB,IO_L63N_SCP6_0,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
A17,BOARD_IDENT<3>,IOB,IO_L64N_SCP4_0,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
A18,BOARD_IDENT<5>,IOB,IO_L65N_SCP2_0,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
A19,,,TDO,,,,,,,,,,,,
A20,BUS_AD_PAD_B<8>,IOB,IO_L20P_1,BIDIR,LVCMOS33,1,12,,,NONE,,LOCATED,YES,NONE,
A21,BUS_AD_PAD_B<9>,IOB,IO_L20N_1,BIDIR,LVCMOS33,1,12,,,NONE,,LOCATED,YES,NONE,
A22,,,GND,,,,,,,,,,,,
AA1,,,PROGRAM_B_2,,,,,,,,,,,,
AA2,BUS_AD_PAD_A<30>,IOB,IO_L64P_D8_2,BIDIR,LVCMOS33,2,12,,,NONE,,LOCATED,YES,NONE,
AA3,,,VCCO_2,,,2,,,,,3.30,,,,
AA4,BUS_AD_PAD_A<18>,IOB,IO_L57P_2,BIDIR,LVCMOS33,2,12,,,NONE,,LOCATED,YES,NONE,
AA5,,,GND,,,,,,,,,,,,
AA6,BUS_AD_PAD_A<6>,IOB,IO_L49P_D3_2,BIDIR,LVCMOS33,2,12,,,NONE,,LOCATED,YES,NONE,
AA7,,,VCCO_2,,,2,,,,,3.30,,,,
AA8,BUS_ABORT_PAD_A,IOB,IO_L45P_2,OUTPUT,LVCMOS33,2,12,,,,,LOCATED,YES,NONE,
AA9,,,GND,,,,,,,,,,,,
AA10,,IOBM,IO_L41P_2,UNUSED,,2,,,,,,,,,
AA11,,,VCCO_2,,,2,,,,,3.30,,,,
AA12,,IOBM,IO_L31P_GCLK31_D14_2,UNUSED,,2,,,,,,,,,
AA13,,,GND,,,,,,,,,,,,
AA14,,IOBM,IO_L16P_2,UNUSED,,2,,,,,,,,,
AA15,,,VCCO_2,,,2,,,,,3.30,,,,
AA16,,IOBM,IO_L19P_2,UNUSED,,2,,,,,,,,,
AA17,,,GND,,,,,,,,,,,,
AA18,,IOBM,IO_L14P_D11_2,UNUSED,,2,,,,,,,,,
AA19,,,VCCO_2,,,2,,,,,3.30,,,,
AA20,,IOBM,IO_L3P_D0_DIN_MISO_MISO1_2,UNUSED,,2,,,,,,,,,
AA21,,IOBM,IO_L2P_CMPCLK_2,UNUSED,,2,,,,,,,,,
AA22,,IOBS,IO_L1N_M0_CMPMISO_2,UNUSED,,2,,,,,,,,,
AB1,,,GND,,,,,,,,,,,,
AB2,BUS_AD_PAD_A<31>,IOB,IO_L64N_D9_2,BIDIR,LVCMOS33,2,12,,,NONE,,LOCATED,YES,NONE,
AB3,BUS_AD_PAD_A<21>,IOB,IO_L58N_2,BIDIR,LVCMOS33,2,12,,,NONE,,LOCATED,YES,NONE,
AB4,BUS_AD_PAD_A<19>,IOB,IO_L57N_2,BIDIR,LVCMOS33,2,12,,,NONE,,LOCATED,YES,NONE,
AB5,BUS_AD_PAD_A<17>,IOB,IO_L54N_2,BIDIR,LVCMOS33,2,12,,,NONE,,LOCATED,YES,NONE,
AB6,BUS_AD_PAD_A<7>,IOB,IO_L49N_D4_2,BIDIR,LVCMOS33,2,12,,,NONE,,LOCATED,YES,NONE,
AB7,BUS_AD_PAD_A<5>,IOB,IO_L48N_RDWR_B_VREF_2,BIDIR,LVCMOS33,2,12,,,NONE,,LOCATED,YES,NONE,
AB8,BUS_M_RDY_PAD_A,IOB,IO_L45N_2,INPUT,LVCMOS33,2,,,,NONE,,LOCATED,YES,NONE,
AB9,BUS_STB_PAD_A,IOB,IO_L43N_2,INPUT,LVCMOS33,2,,,,NONE,,LOCATED,YES,NONE,
AB10,,IOBS,IO_L41N_VREF_2,UNUSED,,2,,,,,,,,,
AB11,,IOBS,IO_L32N_GCLK28_2,UNUSED,,2,,,,,,,,,
AB12,,IOBS,IO_L31N_GCLK30_D15_2,UNUSED,,2,,,,,,,,,
